P,olá porque cstot ainda não entrou serviço quando está previsto
O,obrigado
P,boatarde portugal ainda não nenhuma informações
R,bordeuslisboa primeiro atraso agora trancados dentro aviao porque aparentemente sistema abertura portas funciona sabemos para podermos sair triste falta profissionalismo
P,tarde gostaria vocês fizessem reserva assento para volta brasilia lisboa retorno código reserva ticket tenho preferencia assentos pode aguardo resposta obrigado carlos alberto
O,obrigado
P,noite estou contactarvos telefone mais hora ninguém atende não consigo fazer checkin online para lisboa barcelona obtenho seguinte mensagem nenhuma viagens recuperadas está disponível contacte agente aeroporto mais abaixo informação checkin para principal ainda não está aberto quando poderei fazer checkin obrigado
P,noite possível pedir cartão embarque maio fnclis código reserva para fins pedido reembolso residente madeira obrigada
P,tenho código promocionalmas desconto não entra
P,gostaria saber invés mala posso levar caixa papelão como bagagem porão
O,obrigada veja thiago santos
O,veja dimensões
O,peso máximo
P,vôo amanhã não consigo fazer check online recebi email dizendo estava aberto quando entro link aparece atenção nenhuma viagem disponível nenhuma viagens recuperadas está disponível contacte agente aeroporto check para vôo principal ainda não está aberto vôo amanhã porto lisbon fortaleza julho porto porto francisco carneiro hora partida destino lisbon lisbon airport hora chegada lisbon lisbon airport hora partida destino fortaleza fortaleza pinto martins hora chegada está acontecendo
O,enviei aguardo retorno urgente pois comprei pelo site oficial juntamente para evitar problemas preciso viajar amanhã
O,joão sousa ficou muito fixe
P,portugal vocês oferecem opção pagamento boleto bancário cartão débito
P,quero levar gatas para portugal como devo agir fazer primeiro qual valor
O,gostei muito pena não tido mais excelente ideia
P,necessito gerir mina reserva veículo realizada site como devo proceder
O,samuel ramos
O,até parece quando regresso nossa seleção caneco esta ganhou paris
P,após quase semanas espera decidi tentar esta minha mulher temos residência madeira devido problema computador dela perdeu cartões embarque necessita para solicitar subsídio medida somos clientes gold ligou para gold julho aconselhada enviar mail transcrevo exmos venho este meio solicitar seja enviada meus cartões embarque correspontes bilhete viagem lisboafunchal maio viagem funchallisboa maio anexo cartão cidadão victoria melhores cumprimentos maria helena correia próprio recebeu mail gold dizendo pedido encaminhado depois disso vezes falou gold eles relembraram serviços competentes verdade tempo passa coincidência vamos férias breve assim precisamos referidos cartões embarque máxima urgência para poder levantar subsidio atempadamente cumprimentos luís filipe correia
O,fico então aguardar apesar urgência receção documentos solicitados
R,tarde caros aguardo resposta minha reclamacao apos estado mesmo aceite visto estou fora portugal ligar ficar espera muito minutos originar nova reclamacao quanto contactar pelo menos tivessem email para servico apoio cliente preencher novo formulario excelente melhores cumprimentos anita
R,lamentavel tenha tantos atrasos responsabilize ultimas vezes voei todos voos tiveram atrasos responsabiliza pelos seus atrasos voltarei voar convosco
P,todos compra passagens paulolisboa pagamento cartão credito não atentei haviam parcelas escolher pelo cartão credito finalizei compra poderia refazer escolha parcelar essa compra obrigada
O,continuo espera resposta meus emails
O,sempre mesma resposta
P,razão medical não possível viajar tentei comunicar companhia para anularem enviarem factura anulação impossível alguém reponder tenho disco dizer para esperar música brasileira enviei mail qual juntei certificado médico reserva recebi resposta automática tudo isto medico disse não podia viajar tenho seguro viagem nada posso fazer factura anulação serviços são vossos serviume lição tenho melhor tratamento swiss easyjet
O,enviei mail agora espero resposta
O,comprar bilhete nunca mais
R,terceira relataram falta resposta mais dois anos resposta mais horas atraso não respondem reclamações serviço verdadeiramente lamentável não consideram direitos usuários
O,tenho escrito para endereço também coloquei email mensagem privada esta página
R,tive minha bagagem danificada julho ticket contato imediato groundforce referência aeroporto seguinte disseram poderia resolvido pela internet qual não reconhecia número referência telefone contato não concluído tive vários problemas virtude disso tempo perdido retornei brasil minha mala minhas roupas mala amigo minha mala tinha meses quebraram alças puxador base rodas tratavase mala cabine também mochila aguardo reposição mesma
P,tarde estou tentar fazer checkin online para amanhã recebo este erro erro nenhum passageiro encontrado não recuperada nenhuma reserva verifique seus detalhes identificação gostaria saber devo fazer para fazer checkin obrigado
O,tarde enviei dados mensagem privada cumprimentos
O,agradecia respondessem antes obrigado
P,tarde necessito fazer alteração data gostaria saber quais penalizações associadas obrigada
P,olá tarde adquiri passagens para orlando esqueci informarlhes deficiente físico leve deficiência membro inferior esquerdo possível quando reservas respectivos assentos voosreservas abaixo mencionados solicitolhes seja dada preferência para poltronas corredores minha perna esquerda possa mantida esticada corredor solicitolhes ajuda para seja providenciado caso negativo seja orientado email fone como devo fazer para conseguir exposto abaixo reservas assentos conforme mencionado acima informar malas retiro destino final haveria possibilidade alguém auxiliaracompanharorientar trocas aeronaves código reserva amadeus companhia aérea código reserva amadeus cysdsv companhia aérea cmcysdsv código reserva amadeus companhia aérea classe saida classe saída classe saida classe saída conto ajuda compreensão todos grato antonio carlos santos
P,através victoria poderia informar quais companhias parceiras
O,preferencia respectivos emails fones para contatos pela colocaram empresas parceiras
S,acabou telejornal vender cadeiras avioes para caridade seria melhor ideia vender cadeiras selecao nacional dava muito mais dinheiro
R,noite viagem hoje lisboa porto mesmo saio hora meia atraso destino apenas chegou carrinho bebé duas malas porão não chegaram porto dito malas estavam lisboa prometeram contacto para entrega malas hoje noite até momento não recebi nenhum contacto tive contactar dito ainda não terem recepcionado malas neste momento não tenho roupa nada vestir para bebé tive comprar bens essenciais para bebé não malas delas possui medicamentos para bebé comigo apenas tenho stock medicamento até amanhã noite preciso urgentemente malas
O,obrigado
P,tarde bagagem entregue obrigado entretanto necessário comprar alguns bens essenciais ontem para bebé como poderei apresentar reclamação devido esta situação
O,espero tenha mais sorte
P,noite realizei reserva veículo junto para minha viagem agosto porém email confirmação não disponibiliza link acessível para gerir compra qual endereço eletrônico para fazêlo
R,infelizmente passageiros porto não são recebidos braço abertos esta companhia tanga mais atrasado mais falsa ponte aérea mais conexão perdida lamentável curiosamente aeroporto lisboa disponíveis para receber ligação porto para aqui fazer
O,denise loureiro
O,paulo mauricio
O,compra emojifeliz
O,lindo gesto soleriedade parabéns
O,caroline valladares
O,óptima ideia muitas razões todas elas válidas perante gesto não merece pena mencionar negativas parabéns emojifeliz
O,geeks flight simulator preparem para gastar trocos emojifeliz
O,michael mendes
O,não
O,não estou para licitar
O,scheila farias emojifeliz olhe isto emojifeliz
O,vais comprar
O,hahahahahahahaha voce acho
O,qual site leiloeira
O,marta leite fernando lopes santos
O,pudesse individualmente ainda lhes dava faço cadeiras triplas para decoração emojitriste fica sugestão emojifeliz
O,estou brasil gostaria participar masbela atitude
O,eduardo bentes emojifeliz
O,pedro ponte
O,cadeiras estão completamente vencidas aviões são muito antigos ainda outro viagem classe executiva cadeira totalmente vencida
O,isso tira valor este gesto
O,não está falar gesto objeto questão preferível pessoas fazerem suas doações diretamente instituição necessidade receber troca cadeiras vencidas
O,tera remedio permite sugestaolicite venca novamente para dessa forma outros possam seguir gestoseria concerteza atitude muito bonita passar pelo incomodo ficar artigo desagrado
O,queria dizer peco perdao pelo erro
O,sugestão talvez devolver referidas poltronas própria
O,vencidas isso português
O,típico português reclama tudo ideias não têm reclamar são logo primeiros parabéns pela iniciativa
O,tiago bandeira giro para sala
O,precisava sala nova
O,muito iniciativa
P,como pregressa entrega algum custo adicional moro brasil
O,andré franco
O,carolina borges
O,parcidio campos matos querias coisa assim
O,quê fazem avião está tudo correr
O,idéia mais curiosidade gostar muito cadeira avião sala meio lógica não acham
O,espetacular
O,imigrantes são paulo brasil parabéns pela iniciativa
P,acaso não vão vender cadeiras piloto ficava gingas flight emojifeliz
O,leiloar cadeiras para hahahahahahahah
O,maia
P,tarde precisava saber quais taxas reembolsam cancelamento bilhete emitido depois estado mais espera atendida pelo call centre reservas indicaramme não estariam habilitadas essa informação deveria enviar email para questionei saberiam prazo resposta desse email também não tinham conhecimento telefone contacto refunds também não sabiam serviço desta linha claramente insatisfatório enviei email domingo ainda não responderam necessito resposta rapidamente pois julho quem deverei questionar obrigada pela ajuda
O,para enviei aqui escrevi enviar mensagem privada informação obrigada
R,pior companhia aérea mundo remarcaram horário nenhum prévio aviso não deram upgrade indenização qualquer auxílio
O,caros enviei todos dados mensagem espero possam ajudar pois paguei mais caro esse horário tive reorganizar minha agenda para atender novo horário avisando meus superiores remarcando horários transporte
O,até agora não tive nenhum posicionamento sobre caso apesar enviado mensagem meus dados obrigada
R,verifiquei resolveram problema pior companhia aerea mundo espero esse seja primeiro ultimo problema
P,qual seria valor receberia cancelasse volta apenas
O,quero nunca mais viajar houve diversas criticas companhia insisti pelo preço mais barato
O,nosso caso resolveram novamente pior companhia ever nunca mais
R,venho este meio mostrar desagrado irritação pela maneira como tratado hospedeira lisboa porto não qualquer bebida mesmo gelado como todos restantes passageiros hospedeira esqueceu pessoa mesma fila até tudo erros acontecem agora quando questionei sobre situação responde culpa minha devia sido queixar parabéns pouca formação vossos funcionários rapariga vinha lado vinha nova zelândia agora leva opinião espetacular agora dois dias dois voos dois atrasados parabéns
P,preciso resposta caso need asnwer case necesito respuesta caso
R,engraçado como processa coisas clientes hoje minha namorada filho ficaram retidos aeroporto milãomalpensa mais porque atrasou não muito mais isso tenho certeza pois estado emocional ficou debatido para deixarem entrar dizerem não quando ainda estava avião acoplado manga melhor quando conta mala cadeirinha menino também tinha sido retirado aeronave foram rapidos avião descolou hora pior comprar novamente bilhete inteiro coisa muitas poucas companhias fazem normalmente pagar espécie coima contudo esperou aeroporto mais para tarde criança anos acreditem não tarefa fácil agora estava marcado para está atrasado parte diplomática pela simplesmente fazer esperar passageiros porque sabem eles têm querem para destino isso fazem esperar minimo satisfação acho agora deviam minimo reembolsar bilhete pois não nossa culpa atrasarem passageiros também têm vida como disseram minha namorada hoje manhã credibilidade vocês têm pouca
R,triste termos coisas face para empresas sintam minimo vergonhosas ponto resolverem situaçoes podiam sido resolvidas momento triste fazer todos saibam vergonha dessas empresas para seus clientes sejam carinhosamente atendidos pior tudo triste essas empresas serem dizerem serem portuguesasé triste muito triste
R,tarde vão mais semanas resposta reclamação quando resolvem este problema
P,posso pagar minhas passagens boleto bancário
R,gostaria expressar minha insatisfação serviço péssima qualidade prestado pela empresa cliente muitos anos capaz declínio empresa durante essa ultima viagem vamos fatos compra duas passagens fevereiro pagamento aceito concluído bastante antecedência antes embarque porém tentar efetuar checkin online vejo minha reserva não encontra confirmada entro contato várias vezes para tentar entender problema informado meus dados não foram confirmados seria preciso enviar foto minha identidade cartão crédito para detalhe esses dados não foram solicitados nenhum momento durante fevereiro até junho pior tudo receber informação iria perder avião conta dessa pendência funcionários totalmente despreparados porto portugal iniciamos nosso checkin para retornar brasil funcionária totalmente insuportável educada logo mesma questiona como irmão chegou portugal pois bilhete dele estava cancelado detalhe pagou passagem fevereiro para portugal utilizando mesma reserva julgou cancelada solicitou cartão crédito irmão contato telefone para corrigir problema percebemos claramente irritação mesma abandou nosso grupo meio atendimento trocando lugar outra funcionária logo iniciou confusão absurda demora checkin confusão criada essa funcionária citada item tão absurda quando chegamos brasil descubro estou minha mala mesma encontra perdida pois não etiquetada checkin até hoje encontro mesma não creio esse post recuperar minha mala não espero pedido desculpas empresa espero isso possa alertar outras pessoas
O,conforme solicitado dados foram enviados
P,prezados acabei receber comunicado vocês alteraram vôo retorno lisboa para janeiro para seguinte horário cancelaria todas minhas reuniões segunda isso inadmissível mudança dias antes viagem para londres atendimento telefônico não atende também preciso ajudem para retornar horário vôo para horário mais adequado
O,mandei mensagem privada estou aguardando
O,emojifeliz lindo emojifeliz
P,tarde gostaria informassem seguinte favor lisboafunchal tarifa classic possível além mala mão levar mala portátil
P,noite enviei mensagem privada sobre reserva victoria aguardo resposta obrigada
P,não hábito responder emails seus clientes
O,mandei diversos emails respeito solicitação milhas alem fazelo proprio site até presente data recebi resposta
O,alem disso enviei mensagem através site também solicitei milhas site
O,mandei mensagem face
E,adoro portugal sempre posso até terra meus avós empresa
P,olá trocaram minhas passagens semana antes causando atraso quase hora compra avisam não podemos mudar horário aviso prévio própria companhia área muda gostaria retorno urgente pois semana não consigo entrar contato companhia
O,luísa matos aqui
S,criem site para reservas funcione
R,site reservas funciona ipad
E,são óptimos aviões portela lismohammed neles são muito bons
O,fica girissimo
O,fixe
O,bastantes viagens neles para tanger muito bons
O,precisam tambem conhecer koreatown entre quinta broadway bairro chines flushing queens emojifeliz
P,brevemente voar reino unido para portugal minha bebé meses meus gatos gostaria saber transportam meus gatos cabine comigo quantos animais pode levar cada pessoa
R,lamentavelmente razão aparente não consigo efectuar minha reserva vôo site flytapcom chegando parte pagamento não permitido efectuar mesmo contactado banco informa não existe qualquer problema cartão utilizado contactada mail não obtive qualquer resposta minha situação tentando efectuar pagamento outro cartão distinto inclusivamente outra pessoa conta também não permitido insiste problema cartões insisto problema site atendimento companhia ficamos
O,novo serviço upgrade passageiros portugal podem fazer upgrade bilhetes classe económica para classe executiva como diznos concordas esta medida
O,não primeira classe porque inventam coisas
O,claro não primeira classe classe executiva intermédia entre econômica primeira
O,claro
S,deveria reativar rota porto roma rota sempre cheia visto apenas operava diário cada sentido aviões chegada novos aviões mais económicos poderia reativar esta rota visto todas outras foram desativadas aeroporto porto foram cobertas pelas lowcost menos esta oportunidade sucesso para
P,olá trocaram minhas passagens semana antes causando atraso quase hora compra avisam não podemos mudar horário aviso prévio própria companhia área muda gostaria retorno urgente pois semana não consigo entrar contato companhia
O,agosto vinda hora marcada obrigada
P,como seria feito reembolso caso quisesse cancelar
P,agradeço então respectivo cancelamento reserva quando efectuado agradeço respectiva confirmação obrigada
P,exmos pretendo viajar para lyon próximo agosto transportando cão cerca terá viajar porão sucede será efectuado conforme indicação vosso site reservas tempos tive fazer várias deslocações brasil mesmo tipo avião sempre recusado transporte animal porão justificação porão não climatizado tratandose mesmo tipo avião solicito informem cão poderá viajar segurança comodidade muito obrigada
O,ainda não reserva queria assegurar esta situação antes fazer reserva obrigada
P,noite desde ontem não consigo enviar mail para
S,favor não brinquem vossos clientes alterem vossa página flytap certo
O,carlos vitória simpática ainda hoje falei abraço
E,piloto não moro brasil sempre viajo longo curso faço vários anos apesar eventuais outro qualquer incidente continua sempre continuará minha companhia aérea preferida para viajar seguro confortável confiante
P,tarde deve haver algum problema sistema checkin não consigo mudar lugares tentei chrome safari não assume mudança qualquer forma gostaria saber podem fazer essa mudança aqui obrigado
R,junho cancelado aviso prévio reclamação através site ainda não obtive resposta terei enviar reclamação carta para obter resposta indemnização
P,gentileza quero comprar hoje passagem volta curitiba porto entanto passaporte estará pronto final agosto coloco numero passaporte posso colocar identidade depois alterar dados
O,então procederei dessa forma confiando dados identificação poderão alterados obrigada
P,preciso informação tenho comprar seis passagens volta saindo entanto essas seis pessoas ainda não receberam seus passaportes estando previsto para final agosto posso comprar nome delas usando numero passaporte como devo proceder
O,obrigado
P,gostaria saber qual endereço para reclamações sobre problemas ocorridos voos espero dessa alguém responda
O,funchal para lisboa passagem pelo
R,quero registrar minha insatisfação vôo ontem lisboa para são paulo primeiro comissários eram muito maus agindo como não suportassem mais aquele trabalho hora servir refeição para minha colega comissária disse havia acabado opção carne havia peixe então tive ficar comer pois não posso comer peixe imagina estar viagem tão longa não poder almoçar pior quando escutei comissária dizer casal estava sentado atrás gente seguinte frase sorte ainda temos duas carnes entregou comida eles para piorar quando cheguei são paulo recebi minha bagagem destruída mesmo estando etiqueta grande para haver cuidado trato pois peso estive dois meses pela europa viajando pelas mais diversas companhias aéreas momento algum aconteceu algo parecido estou completamente decepcionada tenho blog dicas viagem não pretendo recomendar
O,goodmorning
O,conheça nutrémia aqui contactenos para saber quais benefícios cliente portugal grupo ecco salva
O,portugal
O,avô filho neto
E,muitos parabéns comandante miguel carvalho comandante paulo garção pela magnifica exibição emojifeliz
P,vôo desta manha porto para lisboa achei ipad assento qual certamente deixado esquecimento peloa passageiroa vôo anterior naquele lugar lado única coisa correta fazer ainda filho adolescente não importasse ganhar ipad achado avião entregueio assistente bordo gostaria mesmo confirmação logo possível ipad chegou dono pois certamente fará muita falta tenham feliz abençoado deus paulo batista
R,desespero fazer para semanalmente trabalhar longe família amigos durante semana quando chega hora regresso casa garante atraso esperam lisboa braços abertos
P,está atraso quanto não placard
R,infelizmente assim mesmo
O,depois diznos resposta desabafo traga mudanças para todos
O,segue informação partilhei sobre seus consecutivos atrasos
O,preciso falar alguém
O,vindos
O,acabado chegar aeroporto genebra chegada
O,semana passado assim emojifeliz
O,grande campeão europeu
P,quem devo consultar para saber encontrada minha pulseira prata strass perdida seguintes vôos realizados sendo primeiro segundo conexão classe econômicaaeroporto partida janeiro galeão brasilaeroporto chegada lisboa vôovôo partida lisboa portugalaeroporto chegada barcelona espanhaagradeço antecipadamente resposta
O,ansioso começar curso emojifeliz
O,obrigada pela atenção
R,resposta copy paste mesmo automática agora voos para porto preços decentes contra interesses capital novo aeroporto
O,adoro viajar mais confiante
O,muito obrigado
O,muito obrigada
S,pena não voarem para cracóvia destino tão mais importante capital
O,antónio sousa faça como procure soluções noutra companhia aérea porque esta não respeito pelos nortenhos pagam muitos mais impostos lisboetas
O,obrigada gostaria algum contato inglaterra não portugal
O,agradeço continuo conseguir fazer não identifica passageiros
O,espero nenhum nortenho viaje nesta companhia existem soluções seja para madrideu minha esposa vamos viajar brevemente através transavia existem muitas outras soluções muito mais baratas
O,valor total
O,pois escala técnica porque não pode fazer directo falta autonomia seja cavalo burro rsrsrs
O,para março somente para passageiro arthur brandao
P,tudo estou tentando fazer check inmeu zurique lisboa manhaminha reserva nome reserva luiz rochae eticket site infelizmente não carrega não consigo fazer reserva gradeço puderem responder antes meia noietnoite
O,muito obrigado pela célere resposta fimdesemana
O,olá agradecido pela oportunidade
O,nome jorge tendeiro estou momento usar conta minha esposa
P,noite gostava levar meus filhos andar aviao sonho deles alguma promoçao para destinos perto baratos conta obrigado
P,queria remarcar para final mês junho
O,polonia
P,bagagem pego brasil emojifeliz
P,tarde nome nadja martins quirino amsterdam para brasil recife ontem vôo aconteceu minhas bagagens não chegou procurei funcionária aeroporto recife verificou essa mala não pesada registrada como bagagem não existisse entanto despachei duas balcão schiphol não tenho comprovante identificação acredito funcionário distraiu mandou mala pela esteira registrar registrou primeira coloquei esteira creio essa mala ficou aeroporto amsterdam pois acredito não embarcaram mala identificaçã questões segurança gostaria ajuda para encontrar minha bagagem pois dentro contém objetos valor sentimental obrigada aguardo retorno nada quirino
S,bilhete quero cancelar parte lisboa destino recife
P,tenho codigo viagem
O,agora marquei minha viagem muito tempo
O,desculpe
O,para fazer escalas prefiro iberia pelo menos aeroporto barajas excelentes condições inclusive poltronas para hacer siesta
O,março
O,merda
O,aeroporto lisboa
P,tarde estou tentando fazer compra novamente aparece seguinte mensagem site
P,como faço para concluir compra
O,numero bilhete mars paris porto passageiro consegue caminhar
P,tardejá tempo enviei mensagem cerca segunda bilheteeu não tenho número bilhete códigocomo posso proceder para conseguir segunda bilhete
O,muito carovou sempre mais barato
P,noite filho viagem época natal porto madeira vise versa pedido vezes recibo factura para receber reembolso umas semanas ainda enviaram gostaria saber porque esta demorar tanto tempo obrigada
O,transportes aéreos portela
P,muito obrigada pelo esclarecimento cadeira entregue momento entrega restante bagagem dentro algum invólucro
O,reservei todos bilhtes
O,obrigado está resolvido consegui entrar emojifeliz
O,atisfeto saber estas trabalhar
O,compro tudo
P,nome fernando ribeiro costa faço parte programa victoria quero verificar minhas milhas esqueci endereço email perfil não possuo novo email como devo fazer para cadastrar acesso minha contaatt
O,para mimnem fossem borla nunca mais
O,pretendida ksml
O,ricardo soares não avião madeira portugal embraer também não motor madeira brasil seja tecnologia embraer não brasileira agora consórcio frances italiano
O,muito obrigado pelo esforço ficar aqui até
O,não pondo causa aeronave lamentável começar operar aeronaves mão manutenção como está difícil engolir cancelamento para adquirir
P,tarde seguinte reserva entanto gostaria esclarecer situação passageiras chamase raquel paixão pancada entanto reserva coloquei como raquel paixão problema não último apelido consta reserva
O,brasília lisboa
O,colados imagem
O,agora para quem receber para express são muito velhos operated white csdja exprakg delivered azul csdjb expraki delivered csdjc expraqw delivered azul csdjd expraqx delivered azul csdje expraqy delivered azul csdjf expraqz delivered azul csdjg delivered csdjh delivered como pode vetustos mais idade são março passado algumas areonaves vêem como exemplo csdjb ainda não foram entregues nemm sequer sairam linha produção
O,filipe carvalho opiniões são respeitaveis quando fundamentadas até você não disse porque considera avião excepção lentodeve voado tantas vezes perceber muito aviões
P,estou tentar contactar alguém cerca hora será possível pedir assistência através deste messenger
O,tentei skype sucesso
R,merda
O,felipe costa financia hahahaha existem piores
O,avião
R,pena tão caro
P,pergunto pois anteror cancelado agora precisarei ficar lisboa horas esperando outro vooentão seria melhor pegar bagagem brasil mesmo
O,voos para varsóvia desconto partida portugal até
P,tardegostaria saber alguma restrição relacionada transporte cinzas humanas aviões coloco esta questão porque minha avó gostaria mandar cremar restos mortais avô continente posteriormente levar cinzas para madeira naturalmente avião obrigado
P,última perguntaacabei fazer checkin consegui imprimir passagem frankfurt até lisboaa outra viagem até brasildiz tenho fazer checkin lisboanesse caso pego bagagem brasil mesma formasim
R,isso portugal cancela voos para porto
P,gostaria comprar passagem para brasil quero comprar online sera voces contato possa ligar comprar antes comprava rapaz londres hoje liguei mossa disse rapaz trabalha mais eles vende mais passagem
O,obrigada
O,obrigado
O,falao
O,catia filipa silva leitão
O,obrigado pela atenção
O,codigo reserva
P,noite gostaria remarcar bilhete
P,olá tarde vocês poderiam auxiliar algumas sobre transporte animais pela
O,obrigado
O,pensar alto
O,buonasera
O,gosto
O,everjets voar para oporto emojifeliz mais barato
P,lamento incomodado site outra companhia check ainda não está disponível para realizar tenho outra questão bagam diretamente para pisa cumprimentos
R,triste companhia andar cavalopara burroos aviões motores turbohélicesão mais lentos mais desconfortáveis mais ruidosos balançam muito mais vooportanto muito mais desconfortáveis para passageirose são regra usados locais inóspitos difícil acesso péssimas condições acesso decolagemmas como julga pode tratar aeus potenciais clientescom gado mansotenho impressão breve trecho perceberque generalidade passageiros vaise transferir para lowcostpois normalmente pessoasnão gostam viajar comboio recovagem
O,muito obrigada recebido desculpem mais
P,tarde gostaria saber como possível agendar milhas para bebé pouco site consigo opção para crianças mais anos obrigado
O,vôos panamá portugal não baixa ainda cima deixar fazer viagens para
P,tarde estou contactar pois segunda feira realizar viagem para pisa fazendo escala roma queria fazer check online hoje contudo não consigo realizar check roma pisa talvez não pela mesma companhia onde poderei realizar check roma pisa
O,grata pela atenção
O,agradeço resposta rápida pretendo efetuar troca para opção apresentada obrigada
O,obrigado
O,agradeço confirmação
O,então não quero alterar obrigado
O,medidas são
O,ainda não recebi qualquer resposta muito menos milhas continuo aguardar
E,gosto muito portugal
P,alteraçao para março minha passagem para codigo reserva qual seria valor total tenho pagar incluindo
P,tarde preciso fazer alteração
R,ligo para portugal nunca atendem
O,agradecia ajuda
O,obrigado
O,viajar pela não favor
P,nome luís cardosograta pela atenção disponibilidadecordialmente
O,okmais perto dessa data contacto saber referência valor consoante eles vão porão cabineobgd
P,peço imensas desculpas email está poderiam enviar novo para mais peço desculpas pelo erro muito obrigada
P,cliente victoria preciso recuperar senha não consigo isso estou pedindo ajuda pelo facebook porque endereço eletronico mudou não consigo enviar novo endereço email para atualizar cadastro recuperado solicito victoria miles oriente como fazêlo atenciosamente hiromi sudo trentiniemail
O,lindos terra belos
O,porto para gatwick gisela magalhães
P,mesmo cadeira tenha medidas fora medidas malas porão entrega feita mesmo momento restante bagagem
P,tarde exmos srso marido viagem para amanhã lisboa destino zurique gostaria saber custo alteração para domingo mesmo segundafeiraestou tentar ligar desde hora almoçoserá possivel daremnos essa informação obrigada
O,bilhetes aviao caros para portugal agosto
R,eles respondem lhes interessa
R,pergunta comida melhor agora ainda sabe tão tripulação quela comer
O,prefiro transportadora aérea portela
P,tenho pagar mais euros
O,quer dizer take another plain
O,portugal medou nome agora chamase serviços transportes públicos lixboa
O,ainda tens saudades conduzir belos tempos
O,conversa sempre mesma
O,mais
O,lamento sempre voar para acabou porque norte
O,devia víagem paga classe pelo dinheiro paguei pela porque costa resolveu dinheíro nosso porque companhia não lucro
O,norte está unidoboicote atap transportes aéreos portela
O,não percebo como ainda gente norte gosta não faltam alternativas destino desta falência bibo norte carago emojifeliz
R,mandaramme mail inglês dizer seria cancelado depois iniciar viagem qualquer mails são chinês não presta serviço publico nenhum
P,minha mãe amanhã zurique para lisboa numero bilhete saber esta confirmado alguma alteração devido tempoobrigado
P,obrigada gostaria saber possível envio email para confirmar anulação viagem envio euros reembolso prazo aproximadamente dias
O,finalmente apareceu opção
P,não encontro opção mala extra pode ajudar
O,não anulem dizerem tenho pagar alguma coisa obrigada
O,olha pouso aíamor janderson sousa pereirajá visualizado mais
P,muito tarde estou contactar seguimento alteração reserva número bilhete questão são paulo para porto paragem lisboa inicialmente alterado trecho são paulo lisboa depois alteraram também hora trecho lisboa porto chego lisboa manhã gostaria saber possível alterar lisboaporto para horário mais cedo mais ainda alteração voos responsabilidade esta alteração não terá custos correto obrigada mónia martins
O,obrigada
O,sent
O,porque portugues defendo tudo portugal vendo promesas
P,olá tarde como poderei saber custo fazer para enviar encomenda lisboa para boavista cabo verde obrigada
O,entao outro
O,gosto disto
O,gosto disto
O,falta boston cabo verde
O,agora simm viva lisboa pais lindo
O,acabou
O,poderá aceder aplicação step através link
O,tirem nome portugal desta empresa portugal não nada esta empresa serve para denegrir nosso país
P,olá tarde chamome rucarson angolano gostaria saber voos rota luanda manchester
O,fico muito feliz fazer tudo muito parabens para nós tuds
